,location,shortcode
0,Potamelt,B4z22evhYP9
1,ラフォーレ原宿,B4z2BwwBSBA
2,Eggs 'n Things 原宿店,B4z1nWrhbwp
3,Forucafe 原宿店 at Wework アイスバーグ,B4z1WBcAcOg
4,,B4z04r4gA0G
5,Tiffany & Co.,B4z0F2Mgy98
6,,B4zz3f9lytc
7,,B4zzpXVB8y8
8,DOUBLE TALL CAFE（ダブル トール カフェ） 渋谷店,B4zyW70pKCV
9,Bills 東急プラザ表参道原宿店,B4zxZ3wn5i2
10,Kitasando Coffee,B4zw4AJB1gi
11,Kitasando Coffee,B4zwoGgjk-H
12,裏原宿,B4zwVqcD8s3
13,Apeach Omotesando,B4zv5BaF7Vm
14,,B4zvdqlAzmb
15,GOOD TOWN DOUGHNUTS,B4zva5djiZq
16,KOI Thé JAPAN,B4zvB-FHFWX
17,The Deck Coffee&pie,B4zu6a6AXah
18,cafe yolum,B4zuvQKneR4
19,,B4zuYskFOMC
20,Meiji-Jingu Temple,B4ztjtCHtAA
21,Caroline Diner,B4zsgwHgFo3
22,アロハアミーゴ,B4zsKuMpElu
23,,B4zq0TRnaXE
24,Shozo Coffee Store,B4zqolJHm-D
25,The Little BAKERY Tokyo,B4zpqElBka_
26,,B4zpU56DnLZ
27,,B4zoiEJhv6M
28,Higuma Doughnuts × Coffee Wrights 表参道,B4zoAjqHp7K
29,,B4zn-NQH7VH
30,ラフォーレ原宿,B4zn2GilfLN
31,,B4znyWVJQaM
32,"Harajuku, Tokyo（原宿）",B4znt6clgqX
33,THINK OF THINGS,B4znTI6HkfM
34,原宿 竹下通り,B4znMeVjfy5
35,The Little BAKERY Tokyo,B4znEAbFllN
36,ティファニー キャットストリート,B4zm4H0hBHF
37,ヨゴロウ,B4zmu-GjXH4
38,カフェ ケセラセラ,B4zl2aQFYgn
39,,B4zlSNNAYjQ
40,Cafe les Jeux,B4zkyrGB2D2
41,,B4zkjnAh1mS
42,,B4zkRYHl1c_
43,Japan,B4zkQ5MJw_-
44,,B4zkMBdgc-R
45,カネ十農園表参道,B4zkJVyg0Mw
46,,B4zkEEUgbza
47,,B4zkDuABTjf
48,dotcom space Tokyo,B4zjhY5BwgO
49,dotcom space Tokyo,B4zjch7HJ-s
50,,B4zjYTIBDz_
51,"Tokyo 東京, Japan",B4zjOWDgOpm
52,幕張メッセ (Makuhari Messe),B4zjBztn1Lj
53,WORLD BREAKFAST ALLDAY,B4zin03jl-e
54,Galaxy Harajuku,B4ziSGDA-xV
55,,B4ziOrdB4n3
56,W/O Stand Shimokita,B4ziIdSB6Ky
57,,B4ziBfHnQjJ
58,,B4zh-uIFWeM
59,カフェナンバー 原宿店,B4zhz7qgZto
60,,B4zhUVGHK8X
61,dotcom space Tokyo,B4zgepRlkIX
62,,B4zgEwxAu2o
63,Cafe Le Pommier,B4zb9vXJ3KX
64,七里ヶ浜海岸駐車場,B4zbxgcDtV1
65,FREEMANCAFE,B4zZlimBpoU
66,,B4zVcLrJBtY
67,Shiseido Gallery -資生堂ギャラリー,B4ynRdOhpbo
68,Eddy's IceCream,B4lpvV_l5g2
69,,B1QD1a0poWb
70,lohasbeans coffee,B0xfWMRpWbD
71,NUMBER SUGAR,B0Ba6pPHOd0
72,,B4zgZzIDAri
73,,B4zgCL8Altk
74,,B4zf6QTgzsF
75,rag and bone Tokyo,B4zfsdBgNK2
76,dotcom space Tokyo,B4zfdMEHmaC
77,,B4ze9w1g2nu
78,cafe yolum,B4ze8NehA0A
79,アクア 表参道 ACQUA omotesando,B4zenCZFePn
80,Moshimoshi_rooms,B4zeL1JncvT
81,The Little BAKERY Tokyo,B4zd9KIH5b8
82,,B4zdK1YnwvP
83,原宿のフクロウの森と豆柴カフェ,B4zdDHLA3pC
84,Sidewalk Stand,B4zc2ssH9O6
85,CHAVATY,B4zcmeTl6N5
86,Sidewalk Stand,B4zckvlnZTv
87,ポムポムプリンカフェ 原宿,B4zcioWgT1d
88,,B4zbXnwgsKR
89,Colombin コロンバン原宿本店サロン,B4zbPf0gG3h
90,FRUIT PICNIC,B4zahB_H07q
91,原宿 竹下通り,B4zaEbbAoDI
92,,B4zZx0xDGIh
93,,B4zZnmIAZn0
94,,B4zZPwLnyQm
95,Cafe Le Pommier,B4zWvr2JU4d
96,Q-pot CAFE.,B4zWf8cn1r2
97,西武池袋本店,B4zV8SgAE0W
98,葡萄屋kofu,B4zVrtngMeW
99,The Little BAKERY Tokyo,B4zVq5IHS2c
100,しロといロいロ,B4zVnsVgpxq
101,ザリガニカフェ,B4zUv21jPUU
102,,B4zTNmIgd07
103,渋谷駅,B4zS_PCgGwE
104,,B4zSoqKhpC7
105,ARMS,B4zShpfhFVG
106,稲庭干饂飩 　銀座 佐藤養助,B4zSK2-gqrk
107,北参道駅,B4zRyYoFUoy
108,The Matcha Tokyo,B4zRmfRH1Jq
109,RAINBOW PANCAKE,B4zRhFIpHbi
110,,B4zRKunhWNW
111,THINK OF THINGS,B4zRHg_Fzso
112,,B4zQs87HkjF
113,Galaxy Harajuku,B4zQMdOAffu
114,The Little BAKERY Tokyo,B4zPlnTgoB7
115,Harajuku,B4zPcUTAV2s
116,Kitasando Coffee,B4zPV8jFIH2
117,,B4zOLK4A0qV
118,東京原宿,B4zN6_0HGym
119,Comebuytea japan,B4zNPw9ACKY
120,,B4zM6_OBnAE
121,ラフォーレ原宿,B4zM40mhUun
122,WORLD BREAKFAST ALLDAY 原宿店,B4zMxTGAmR4
123,,B4zMgu8lQ6m
124,渋谷 109,B4zMM_NBHk7
125,,B4zLHtQlBaG
126,J-Cook,B4zKyX9lSH5
127,prize表参道/原宿店,B4zKpybnazF
128,パークハイアット東京,B4zJg_ZFq-m
129,,B4wyXvHgBuL
130,,B4usYFeHWsj
131,,B4hq_vKn206
132,,B4e_APgHWmZ
133,,B4TV-zcBDga
134,Mameshiba Cafe,B2yw2LIhswA
135,Ralph's Coffee Omotesando,B1iZDmNBx1Y
136,CHOP COFFEE,Bxpb9akhJxf
137,Supermoon Bakehouse,Bjh-zNrANm2
138,表参道ヒルズ（OMOTESANDO HILLS）,BbcB0MMlPom
139,,B4zgZzIDAri
140,,B4zgCL8Altk
141,,B4zf6QTgzsF
142,rag and bone Tokyo,B4zfsdBgNK2
143,dotcom space Tokyo,B4zfdMEHmaC
144,,B4ze9w1g2nu
145,cafe yolum,B4ze8NehA0A
146,アクア 表参道 ACQUA omotesando,B4zenCZFePn
147,Moshimoshi_rooms,B4zeL1JncvT
148,The Little BAKERY Tokyo,B4zd9KIH5b8
149,,B4zdK1YnwvP
150,原宿のフクロウの森と豆柴カフェ,B4zdDHLA3pC
151,Sidewalk Stand,B4zc2ssH9O6
152,CHAVATY,B4zcmeTl6N5
153,Sidewalk Stand,B4zckvlnZTv
154,ポムポムプリンカフェ 原宿,B4zcioWgT1d
155,,B4zbXnwgsKR
156,Colombin コロンバン原宿本店サロン,B4zbPf0gG3h
157,FRUIT PICNIC,B4zahB_H07q
158,原宿 竹下通り,B4zaEbbAoDI
159,,B4zZx0xDGIh
160,,B4zZnmIAZn0
161,,B4zZPwLnyQm
162,Cafe Le Pommier,B4zWvr2JU4d
163,Q-pot CAFE.,B4zWf8cn1r2
164,西武池袋本店,B4zV8SgAE0W
165,葡萄屋kofu,B4zVrtngMeW
166,The Little BAKERY Tokyo,B4zVq5IHS2c
167,しロといロいロ,B4zVnsVgpxq
168,ザリガニカフェ,B4zUv21jPUU
169,,B4zTNmIgd07
170,渋谷駅,B4zS_PCgGwE
171,,B4zSoqKhpC7
172,ARMS,B4zShpfhFVG
173,稲庭干饂飩 　銀座 佐藤養助,B4zSK2-gqrk
174,北参道駅,B4zRyYoFUoy
175,The Matcha Tokyo,B4zRmfRH1Jq
176,RAINBOW PANCAKE,B4zRhFIpHbi
177,,B4zRKunhWNW
178,THINK OF THINGS,B4zRHg_Fzso
179,,B4zQs87HkjF
180,Galaxy Harajuku,B4zQMdOAffu
181,The Little BAKERY Tokyo,B4zPlnTgoB7
182,Harajuku,B4zPcUTAV2s
183,Kitasando Coffee,B4zPV8jFIH2
184,,B4zOLK4A0qV
185,東京原宿,B4zN6_0HGym
186,Comebuytea japan,B4zNPw9ACKY
187,,B4zM6_OBnAE
188,ラフォーレ原宿,B4zM40mhUun
189,WORLD BREAKFAST ALLDAY 原宿店,B4zMxTGAmR4
190,,B4zMgu8lQ6m
191,渋谷 109,B4zMM_NBHk7
192,,B4zLHtQlBaG
193,J-Cook,B4zKyX9lSH5
194,prize表参道/原宿店,B4zKpybnazF
195,パークハイアット東京,B4zJg_ZFq-m
196,,B4wyXvHgBuL
197,,B4usYFeHWsj
198,,B4hq_vKn206
199,,B4e_APgHWmZ
200,,B4TV-zcBDga
201,Mameshiba Cafe,B2yw2LIhswA
202,Ralph's Coffee Omotesando,B1iZDmNBx1Y
203,CHOP COFFEE,Bxpb9akhJxf
204,Supermoon Bakehouse,Bjh-zNrANm2
205,表参道ヒルズ（OMOTESANDO HILLS）,BbcB0MMlPom
206,,B4zgZzIDAri
207,,B4zgCL8Altk
208,,B4zf6QTgzsF
209,rag and bone Tokyo,B4zfsdBgNK2
210,dotcom space Tokyo,B4zfdMEHmaC
211,,B4ze9w1g2nu
212,cafe yolum,B4ze8NehA0A
213,アクア 表参道 ACQUA omotesando,B4zenCZFePn
214,Moshimoshi_rooms,B4zeL1JncvT
215,The Little BAKERY Tokyo,B4zd9KIH5b8
216,,B4zdK1YnwvP
217,原宿のフクロウの森と豆柴カフェ,B4zdDHLA3pC
218,Sidewalk Stand,B4zc2ssH9O6
219,CHAVATY,B4zcmeTl6N5
220,Sidewalk Stand,B4zckvlnZTv
221,ポムポムプリンカフェ 原宿,B4zcioWgT1d
222,,B4zbXnwgsKR
223,Colombin コロンバン原宿本店サロン,B4zbPf0gG3h
224,FRUIT PICNIC,B4zahB_H07q
225,原宿 竹下通り,B4zaEbbAoDI
226,,B4zZx0xDGIh
227,,B4zZnmIAZn0
228,,B4zZPwLnyQm
229,Cafe Le Pommier,B4zWvr2JU4d
230,Q-pot CAFE.,B4zWf8cn1r2
231,西武池袋本店,B4zV8SgAE0W
232,葡萄屋kofu,B4zVrtngMeW
233,The Little BAKERY Tokyo,B4zVq5IHS2c
234,しロといロいロ,B4zVnsVgpxq
235,ザリガニカフェ,B4zUv21jPUU
236,,B4zTNmIgd07
237,渋谷駅,B4zS_PCgGwE
238,,B4zSoqKhpC7
239,ARMS,B4zShpfhFVG
240,稲庭干饂飩 　銀座 佐藤養助,B4zSK2-gqrk
241,北参道駅,B4zRyYoFUoy
242,The Matcha Tokyo,B4zRmfRH1Jq
243,RAINBOW PANCAKE,B4zRhFIpHbi
244,,B4zRKunhWNW
245,THINK OF THINGS,B4zRHg_Fzso
246,,B4zQs87HkjF
247,Galaxy Harajuku,B4zQMdOAffu
248,The Little BAKERY Tokyo,B4zPlnTgoB7
249,Harajuku,B4zPcUTAV2s
250,Kitasando Coffee,B4zPV8jFIH2
251,,B4zOLK4A0qV
252,東京原宿,B4zN6_0HGym
253,Comebuytea japan,B4zNPw9ACKY
254,,B4zM6_OBnAE
255,ラフォーレ原宿,B4zM40mhUun
256,WORLD BREAKFAST ALLDAY 原宿店,B4zMxTGAmR4
257,,B4zMgu8lQ6m
258,渋谷 109,B4zMM_NBHk7
259,,B4zLHtQlBaG
260,J-Cook,B4zKyX9lSH5
261,prize表参道/原宿店,B4zKpybnazF
262,パークハイアット東京,B4zJg_ZFq-m
263,,B4wyXvHgBuL
264,,B4usYFeHWsj
265,,B4hq_vKn206
266,,B4e_APgHWmZ
267,,B4TV-zcBDga
268,Mameshiba Cafe,B2yw2LIhswA
269,Ralph's Coffee Omotesando,B1iZDmNBx1Y
270,CHOP COFFEE,Bxpb9akhJxf
271,Supermoon Bakehouse,Bjh-zNrANm2
272,表参道ヒルズ（OMOTESANDO HILLS）,BbcB0MMlPom
273,,B4zgZzIDAri
274,,B4zgCL8Altk
275,,B4zf6QTgzsF
276,rag and bone Tokyo,B4zfsdBgNK2
277,dotcom space Tokyo,B4zfdMEHmaC
278,,B4ze9w1g2nu
279,cafe yolum,B4ze8NehA0A
280,アクア 表参道 ACQUA omotesando,B4zenCZFePn
281,Moshimoshi_rooms,B4zeL1JncvT
282,The Little BAKERY Tokyo,B4zd9KIH5b8
283,,B4zdK1YnwvP
284,原宿のフクロウの森と豆柴カフェ,B4zdDHLA3pC
285,Sidewalk Stand,B4zc2ssH9O6
286,CHAVATY,B4zcmeTl6N5
287,Sidewalk Stand,B4zckvlnZTv
288,ポムポムプリンカフェ 原宿,B4zcioWgT1d
289,,B4zbXnwgsKR
290,Colombin コロンバン原宿本店サロン,B4zbPf0gG3h
291,FRUIT PICNIC,B4zahB_H07q
292,原宿 竹下通り,B4zaEbbAoDI
293,,B4zZx0xDGIh
294,,B4zZnmIAZn0
295,,B4zZPwLnyQm
296,Cafe Le Pommier,B4zWvr2JU4d
297,Q-pot CAFE.,B4zWf8cn1r2
298,西武池袋本店,B4zV8SgAE0W
299,葡萄屋kofu,B4zVrtngMeW
300,The Little BAKERY Tokyo,B4zVq5IHS2c
301,しロといロいロ,B4zVnsVgpxq
302,ザリガニカフェ,B4zUv21jPUU
303,,B4zTNmIgd07
304,渋谷駅,B4zS_PCgGwE
305,,B4zSoqKhpC7
306,ARMS,B4zShpfhFVG
307,稲庭干饂飩 　銀座 佐藤養助,B4zSK2-gqrk
308,北参道駅,B4zRyYoFUoy
309,The Matcha Tokyo,B4zRmfRH1Jq
310,RAINBOW PANCAKE,B4zRhFIpHbi
311,,B4zRKunhWNW
312,THINK OF THINGS,B4zRHg_Fzso
313,,B4zQs87HkjF
314,Galaxy Harajuku,B4zQMdOAffu
315,The Little BAKERY Tokyo,B4zPlnTgoB7
316,Harajuku,B4zPcUTAV2s
317,Kitasando Coffee,B4zPV8jFIH2
318,,B4zOLK4A0qV
319,東京原宿,B4zN6_0HGym
320,Comebuytea japan,B4zNPw9ACKY
321,,B4zM6_OBnAE
322,ラフォーレ原宿,B4zM40mhUun
323,WORLD BREAKFAST ALLDAY 原宿店,B4zMxTGAmR4
324,,B4zMgu8lQ6m
325,渋谷 109,B4zMM_NBHk7
326,,B4zLHtQlBaG
327,J-Cook,B4zKyX9lSH5
328,prize表参道/原宿店,B4zKpybnazF
329,パークハイアット東京,B4zJg_ZFq-m
330,,B4wyXvHgBuL
331,,B4usYFeHWsj
332,,B4hq_vKn206
333,,B4e_APgHWmZ
334,,B4TV-zcBDga
335,Mameshiba Cafe,B2yw2LIhswA
336,Ralph's Coffee Omotesando,B1iZDmNBx1Y
337,CHOP COFFEE,Bxpb9akhJxf
338,Supermoon Bakehouse,Bjh-zNrANm2
339,表参道ヒルズ（OMOTESANDO HILLS）,BbcB0MMlPom
