,location,shortcode
0,栞日 sioribi,B4z2fBEDQCi
1,creperie monkava モンカバ,B4zvN4BB9aC
2,,B4zf4M2FEGO
3,,B4zZv5RBNqx
4,,B4zVUAIB9Wm
5,,B4zPkWSBlTS
6,,B4zPjU4haVv
7,,B4zPW_9hOtN
8,,B4zOyOJBKT8
9,ラボラトリオ,B4zIKvgFANs
10,こだま食堂,B4yzRlghRnv
11,,B4ynnkehseq
12,,B4ylbO5BAgI
13,"Asahi, Matsumoto-shi",B4yiEcThFm-
14,"Matsumoto, Nagano",B4yhrfghPIh
15,ナカマチ カフェ,B4ydjkvhtRf
16,Ultimate Coffee Brewers,B4x5LahB1EK
17,cafe noyie,B4w756GAkoL
18,小昼堂カフェ,B4w7oVth5do
19,マークカフェ,B4w3wM7j0GG
20,,B4wpzT5BXYK
21,,B4wmtTDBpmO
22,"Matsumoto, Nagano",B4wlTZFhGfg
23,,B4wakgTBdhA
24,こだま食堂,B4wQ3Ibhfhc
25,,B4wPJgIBW9F
26,,B4wIa2TgpUA
27,Mingle,B4wHeIQhACF
28,CONCOURSE CAFE,B4wHYjkpNm4
29,CONCOURSE CAFE,B4wHTGyJQoa
30,salon as salon　(サロン　アズ　サロン),B4wEBCxBonc
31,"Matsumoto, Nagano",B4wDnezj6H3
32,salon as salon　(サロン　アズ　サロン),B4wC8zEnDlN
33,cafe et gateaux le perchoir,B4v9haLhS7W
34,微酔い処 ちくま,B4v84CnBSgV
35,,B4v3ZhsB4dV
36,Mingle,B4v0F9_BRdC
37,,B4vc6NAAFsO
38,グラスリー　トワエ,B4uuY1dgbKh
39,月と群青と珈琲と,B4ugYcwFNiI
40,珈琲美学,B4udiMlgK2O
41,,B4ubsbAhDML
42,松本市縄手通り,B4uaioHgTih
43,カフェ＆雑貨＆ウエディング　Ｍａｍma　Mia！マンマミーア,B4uMikvB6OO
44,Hop Frog Cafe,B4uH8ZvB1HK
45,,B4uEq0Lh911
46,brigela,B4txfE5hZue
47,珈琲茶房 かめのや,B4tkwSHg8Ao
48,,B4tf6QGlJTw
49,,B4tbMBuhjIz
50,微酔い処 ちくま,B4tZ6ohhzzm
51,Hop Frog Cafe,B4tSLV_B7r7
52,珈琲美学,B4tOJwQhShR
53,Ultimate Coffee Brewers,B4tNUnYBS1I
54,,B4tL6QUhPZO
55,,B4tLoy0h2dL
56,,B4tAcecB-XW
57,,B4s8Hmxh1Jo
58,まるも珈琲,B4r_9dphBFV
59,"Matsumoto, Nagano",B4r6Nj3AXTx
60,NAKAMACHI CAFE,B4r1jeqgYop
61,NAKAMACHI CAFE,B4r1UIxgm3b
62,珈琲茶房 かめのや,B4rs91ABVRI
63,珈琲茶房 かめのや,B4rs5ZtBWXq
64,珈琲茶房 かめのや,B4rs2syBqHt
65,珈琲茶房 かめのや,B4rsvznh24q
66,,B4rqTWeh8Mk
67,amijok,B4rnQJ4gtxW
68,brigela,B4rVxtfhWL7
69,,B4rLlm3g-D_
70,"Matsumoto, Nagano",B4rK84rBNjD
71,月と群青と珈琲と,B0C5q8wAvHR
72,栞日 sioribi,B4z2fBEDQCi
73,creperie monkava モンカバ,B4zvN4BB9aC
74,,B4zf4M2FEGO
75,,B4zZv5RBNqx
76,,B4zVUAIB9Wm
77,,B4zPkWSBlTS
78,,B4zPjU4haVv
79,,B4zPW_9hOtN
80,,B4zOyOJBKT8
81,ラボラトリオ,B4zIKvgFANs
82,こだま食堂,B4yzRlghRnv
83,,B4ynnkehseq
84,,B4ylbO5BAgI
85,"Asahi, Matsumoto-shi",B4yiEcThFm-
86,"Matsumoto, Nagano",B4yhrfghPIh
87,ナカマチ カフェ,B4ydjkvhtRf
88,Ultimate Coffee Brewers,B4x5LahB1EK
89,cafe noyie,B4w756GAkoL
90,小昼堂カフェ,B4w7oVth5do
91,マークカフェ,B4w3wM7j0GG
92,,B4wpzT5BXYK
93,,B4wmtTDBpmO
94,"Matsumoto, Nagano",B4wlTZFhGfg
95,,B4wakgTBdhA
96,こだま食堂,B4wQ3Ibhfhc
97,,B4wPJgIBW9F
98,,B4wIa2TgpUA
